section,key,n,bias,rmse,mae,maxabs,dwelling,leg_kind,design_flow_ls,source_room,res_bias,res_rmse,res_maxabs,res_argmax_hour,air_bias,air_rmse,air_maxabs,mrt_bias,mrt_rmse,mrt_maxabs,A_gt26_hours,B_gt26_hours,A_mean_res,B_mean_res,B_inlet_mean_C,A_inlet_mean_C,inlet_delta_K,B_leaving_mean_C,B_zone_mean_C,B_stratification_K,corr,note,dv_true_bias,dv_true_rmse,dv_false_bias,dv_false_rmse,dv_true_mean,dv_false_mean,A_mean,S_minus_B,B_minus_A,A_res,B_res
time_shift,A_res vs B_res|k=-2,70064.000000,0.372874,0.960047,0.792458,4.029873,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_res vs B_res
shift                 -2
scope             pooled
n                  70064
bias            0.372874
rmse            0.960047
mae             0.792458
maxabs          4.029873
corr            0.980568
Name: 64, dtype: object>",,,,,,,,,,,,
time_shift,A_res vs B_res|k=-1,70072.000000,0.372786,0.875573,0.725411,3.740406,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_res vs B_res
shift                 -1
scope             pooled
n                  70072
bias            0.372786
rmse            0.875573
mae             0.725411
maxabs          3.740406
corr            0.986335
Name: 65, dtype: object>",,,,,,,,,,,,
time_shift,A_res vs B_res|k=+0,70080.000000,0.372644,0.833501,0.688882,2.908573,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_res vs B_res
shift                  0
scope             pooled
n                  70080
bias            0.372644
rmse            0.833501
mae             0.688882
maxabs          2.908573
corr            0.989002
Name: 66, dtype: object>",,,,,,,,,,,,
time_shift,A_res vs B_res|k=+1,70072.000000,0.372428,0.900571,0.739647,3.718805,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_res vs B_res
shift                  1
scope             pooled
n                  70072
bias            0.372428
rmse            0.900571
mae             0.739647
maxabs          3.718805
corr            0.984657
Name: 67, dtype: object>",,,,,,,,,,,,
time_shift,A_res vs B_res|k=+2,70064.000000,0.372283,1.000270,0.805392,4.093119,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_res vs B_res
shift                  2
scope             pooled
n                  70064
bias            0.372283
rmse             1.00027
mae             0.805392
maxabs          4.093119
corr             0.97759
Name: 68, dtype: object>",,,,,,,,,,,,
time_shift,A_res vs B_res|k=+3,70056.000000,0.372174,1.097689,0.875357,5.153976,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_res vs B_res
shift                  3
scope             pooled
n                  70056
bias            0.372174
rmse            1.097689
mae             0.875357
maxabs          5.153976
corr            0.969972
Name: 69, dtype: object>",,,,,,,,,,,,
monthly,Bathroom_2|Jan,,0.762008,0.873893,,2.155519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Feb,,0.829768,0.914310,,2.112161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Mar,,1.167548,1.247161,,2.454351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Apr,,0.797364,0.914279,,2.133322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|May,,0.469415,0.650641,,2.003908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Jun,,0.025884,0.511623,,1.208273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Jul,,-0.071448,0.504209,,1.065365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Aug,,0.057443,0.451825,,0.960501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Sep,,-0.181368,0.544653,,1.279428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly,Bathroom_2|Oct,,0.128255,0.496597,,1.453083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
