pair,shift,scope,n,bias,rmse,mae,maxabs,corr
A_air vs B_zone(achieved air),-1,Ensuite_8,8759,-0.542786,1.114585,0.830398,4.020893,0.975637
A_air vs B_zone(achieved air),0,Ensuite_8,8760,-0.542950,1.069915,0.786671,4.130446,0.980219
A_air vs B_zone(achieved air),1,Ensuite_8,8759,-0.543341,1.195958,0.894970,4.092003,0.966789
A_air vs B_zone(achieved air),2,Ensuite_8,8758,-0.543619,1.321566,1.002940,4.114485,0.951921
A_air vs B_zone(achieved air),3,Ensuite_8,8757,-0.543825,1.377118,1.060437,4.279947,0.944875
A_air vs B_zone(achieved air),-3,Kitchen_7,8757,0.870224,1.311784,1.096326,5.348433,0.973225
A_air vs B_zone(achieved air),-2,Kitchen_7,8758,0.870180,1.230607,1.037251,4.650453,0.981894
A_air vs B_zone(achieved air),-1,Kitchen_7,8759,0.870115,1.159071,0.987068,4.541307,0.989070
A_air vs B_zone(achieved air),0,Kitchen_7,8760,0.869985,1.120699,0.944184,3.167248,0.992727
A_air vs B_zone(achieved air),1,Kitchen_7,8759,0.869691,1.162267,0.987130,4.204089,0.988703
A_air vs B_zone(achieved air),2,Kitchen_7,8758,0.869484,1.238865,1.033370,4.667243,0.980948
A_air vs B_zone(achieved air),3,Kitchen_7,8757,0.869315,1.330329,1.081071,5.324661,0.971049
A_res vs B_res,-3,pooled,70056,0.372927,1.051450,0.862083,5.006243,0.973725
A_res vs B_res,-2,pooled,70064,0.372874,0.960047,0.792458,4.029873,0.980568
A_res vs B_res,-1,pooled,70072,0.372786,0.875573,0.725411,3.740406,0.986335
A_res vs B_res,0,pooled,70080,0.372644,0.833501,0.688882,2.908573,0.989002
A_res vs B_res,1,pooled,70072,0.372428,0.900571,0.739647,3.718805,0.984657
A_res vs B_res,2,pooled,70064,0.372283,1.000270,0.805392,4.093119,0.977590
A_res vs B_res,3,pooled,70056,0.372174,1.097689,0.875357,5.153976,0.969972
A_res vs B_res,-3,Bathroom_2,8757,0.495137,1.145006,0.898561,3.608718,0.962102
A_res vs B_res,-2,Bathroom_2,8758,0.495173,1.033372,0.831391,3.207754,0.971671
A_res vs B_res,-1,Bathroom_2,8759,0.495087,0.900378,0.735810,2.993757,0.981783
A_res vs B_res,0,Bathroom_2,8760,0.494930,0.817455,0.686053,2.454351,0.987376
A_res vs B_res,1,Bathroom_2,8759,0.494741,0.922076,0.735022,3.482378,0.980204
A_res vs B_res,2,Bathroom_2,8758,0.494630,1.063377,0.827589,3.975114,0.969159
A_res vs B_res,3,Bathroom_2,8757,0.494577,1.173500,0.938612,3.933395,0.959464
A_res vs B_res,-3,Studio 1_0,8757,0.284686,0.993215,0.801082,5.006243,0.974735
A_res vs B_res,-2,Studio 1_0,8758,0.284674,0.853940,0.701971,4.029873,0.984175
A_res vs B_res,-1,Studio 1_0,8759,0.284637,0.733330,0.617610,3.740406,0.991198
A_res vs B_res,0,Studio 1_0,8760,0.284546,0.672525,0.570209,1.543732,0.994327
A_res vs B_res,1,Studio 1_0,8759,0.284345,0.770996,0.646532,3.718805,0.989100
A_res vs B_res,2,Studio 1_0,8758,0.284224,0.920117,0.734512,4.093119,0.979838
A_res vs B_res,3,Studio 1_0,8757,0.284147,1.083050,0.834539,5.153976,0.967856
A_res vs B_res,-3,Bedroom 2_3,8757,0.487582,0.954604,0.795911,3.635477,0.981487
A_res vs B_res,-2,Bedroom 2_3,8758,0.487543,0.842188,0.708205,3.114281,0.988627
A_res vs B_res,-1,Bedroom 2_3,8759,0.487489,0.752450,0.640069,2.918890,0.993684
A_res vs B_res,0,Bedroom 2_3,8760,0.487366,0.712868,0.609297,2.351591,0.995726
A_res vs B_res,1,Bedroom 2_3,8759,0.487163,0.769602,0.657021,2.503359,0.992739
A_res vs B_res,2,Bedroom 2_3,8758,0.487045,0.871961,0.721751,3.286987,0.986790
A_res vs B_res,3,Bedroom 2_3,8757,0.486949,0.993096,0.795099,4.365703,0.978794
A_res vs B_res,-3,Ensuite_5,8757,0.048156,0.982040,0.836055,2.959736,0.975784
A_res vs B_res,-2,Ensuite_5,8758,0.048069,0.923402,0.804164,2.685568,0.980906
A_res vs B_res,-1,Ensuite_5,8759,0.047943,0.857207,0.753045,2.561815,0.986306
A_res vs B_res,0,Ensuite_5,8760,0.047778,0.827805,0.725568,2.633465,0.988565
A_res vs B_res,1,Ensuite_5,8759,0.047531,0.910368,0.763188,2.729299,0.981960
A_res vs B_res,2,Ensuite_5,8758,0.047352,1.002330,0.816858,3.155976,0.973871
A_res vs B_res,3,Ensuite_5,8757,0.047221,1.056564,0.866484,3.189453,0.968737
A_res vs B_res,-3,Kitchen_4,8757,0.829149,1.243888,1.040885,3.793481,0.978427
A_res vs B_res,-2,Kitchen_4,8758,0.829078,1.166288,0.976002,3.449633,0.985959
A_res vs B_res,-1,Kitchen_4,8759,0.828988,1.101461,0.923775,3.052067,0.991874
A_res vs B_res,0,Kitchen_4,8760,0.828849,1.068859,0.886111,2.459118,0.994707
A_res vs B_res,1,Kitchen_4,8759,0.828649,1.107267,0.928017,3.002331,0.991315
A_res vs B_res,2,Kitchen_4,8758,0.828501,1.178509,0.976406,3.912401,0.984733
A_res vs B_res,3,Kitchen_4,8757,0.828377,1.264769,1.028244,4.529217,0.976220
A_res vs B_res,-3,Bedroom 2_6,8757,0.466124,0.938950,0.781314,3.603348,0.981180
