space_guid	space_name	zone_guid	zt_count	ic_count	heating_count	cooling_count	max_transfer_delta	rt_count	rt_finite	max_air_dev	mean_air_dev
407a5b91-8248-4992-abeb-000fdced341d	Ensuite_5	{147C4969-043F-476E-A38A-E77113F55654}	8760	2	8760	8760	0	8760	8760	0.0010004043579101562	0.0008531292823896016
59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	Kitchen_7	{C18844D4-F835-456F-9E39-C958F9A148EB}	8760	2	8760	8760	0	8760	8760	0.0010004043579101562	0.0009318606494224235
6011108b-0d83-4602-ba4f-1ac620e6219e	Bedroom 2_6	{DCB2741B-F088-411D-9D49-BE8A49E5BD5E}	8760	2	8760	8760	0	8760	8760	0.0010004043579101562	0.0008404750257866568
75b28088-2415-44c0-bea8-3179b3475df0	Studio 1_0	{4A05E23B-38DF-4636-AC4C-EAB26628341B}	8760	2	8760	8760	0	8760	8760	0.0010004043579101562	0.0008536293082041283
b62f342b-f86a-4c46-8feb-616bd976e525	Ensuite_8	{E390237D-B1BB-4E81-8FD6-116019019178}	8760	2	8760	8760	0	8760	8760	0.0010004043579101562	0.0008211082519461575
cfd0fd57-5017-4003-9e6c-3d3d40468bd4	Kitchen_4	{4ADC0A50-6E5F-4CB4-A2F4-D220A63188F0}	8760	2	8760	8760	0	8760	8760	0.00099945068359375	0.0009252095331340076
e2c8a683-410d-42fd-92cb-bcf1e87e5a3a	Bathroom_2	{C314BEA7-5214-4A13-85AF-F33E9FF7D695}	8760	2	8760	8760	0	8760	8760	0.0010004043579101562	0.0008617929127662694
e4d79f26-bd86-4334-831a-fe4048c0e6cc	Bedroom 2_3	{9BCC98E0-5C1A-4E49-909D-34CDE64D9A21}	8760	2	8760	8760	0	8760	8760	0.0010004043579101562	0.0008424515049207156
