space_guid	space_name	system	reference_system	reference_systemzone	reference_zoneload	supply_lps	extract_lps
407a5b91-8248-4992-abeb-000fdced341d	Ensuite_5	MVHR 2	{872DF8E7-FD2E-4F05-9830-ECDFACAFF17B}	{8C7AA4B6-DC13-42F5-BCCA-9D72D153C6A8}	{7039BC75-58DF-4FC1-8D25-A321E9359AE2}		8
59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	Kitchen_7	MVHR 3	{F6A7F0EF-8424-4399-B105-540B84489097}	{95E98138-8C46-4F0B-8D8A-2C6EB7EA3DFD}	{50D1327F-5B14-4B0B-B5CA-5340AD4E1AEF}		55
6011108b-0d83-4602-ba4f-1ac620e6219e	Bedroom 2_6	MVHR 3	{F6A7F0EF-8424-4399-B105-540B84489097}	{67B16BAB-A455-49FB-8599-B609805BD17C}	{A1C7800A-4BFB-4A01-9181-9EDE0283EE28}	63	
75b28088-2415-44c0-bea8-3179b3475df0	Studio 1_0	MVHR 1	{4E83F967-6C16-44E9-BE55-7041221F1601}	{C7D3EE0C-D77E-4F05-A767-A27250227CA3}	{3BABFBC0-97DF-4E47-845F-41FE8D14E80E}	30	22
b62f342b-f86a-4c46-8feb-616bd976e525	Ensuite_8	MVHR 3	{F6A7F0EF-8424-4399-B105-540B84489097}	{06749EC5-4716-4981-B1C6-0EF74CFC23E0}	{060D085B-E468-42D2-8ADB-F07C44B839A8}		8
cfd0fd57-5017-4003-9e6c-3d3d40468bd4	Kitchen_4	MVHR 2	{872DF8E7-FD2E-4F05-9830-ECDFACAFF17B}	{58CFC89A-3531-46B4-BD6A-CDAC32BE164A}	{AF859D48-8FD1-4DBF-84BB-0D6D359D75F4}		55
e2c8a683-410d-42fd-92cb-bcf1e87e5a3a	Bathroom_2	MVHR 1	{4E83F967-6C16-44E9-BE55-7041221F1601}	{6B27D93C-8C24-428C-BA24-AF19CB67DE0F}	{9402C59E-286E-4975-846A-02B2794A5B2C}		8
e4d79f26-bd86-4334-831a-fe4048c0e6cc	Bedroom 2_3	MVHR 2	{872DF8E7-FD2E-4F05-9830-ECDFACAFF17B}	{3E5643AA-2C2B-45BE-8973-144FCABFEECE}	{252806E6-8AE2-4C00-A3FA-538A807E64CD}	63	
